Attrition,Age,MonthlyIncome,DistanceFromHome,Education,Department,JobRole,MaritalStatus,Gender,OverTime,JobSatisfaction,EmployeeNumber,YearsAtCompany
No,37,5974,6,3,Research & Development,Research Scientist,Divorced,Male,Yes,1,474,7
No,30,4736,25,2,Sales,Sales Executive,Married,Female,Yes,3,475,2
No,26,5296,1,3,Sales,Sales Executive,Married,Male,No,3,476,8
No,42,6781,2,4,Research & Development,Healthcare Representative,Single,Male,No,4,477,1
Yes,21,2174,1,1,Sales,Sales Representative,Single,Female,Yes,2,478,3
No,36,6653,1,5,Sales,Sales Executive,Single,Female,No,4,479,1
No,36,9699,3,4,Sales,Sales Executive,Married,Male,No,4,481,13
No,57,6755,1,4,Research & Development,Healthcare Representative,Married,Male,No,3,482,3
No,40,2213,10,4,Research & Development,Laboratory Technician,Married,Female,Yes,3,483,7
No,21,2610,9,2,Sales,Sales Representative,Single,Male,No,4,484,3
Yes,33,2851,5,3,Sales,Sales Representative,Single,Female,Yes,3,485,1
No,37,3452,10,3,Research & Development,Laboratory Technician,Married,Female,No,1,486,5
No,46,5258,7,4,Research & Development,Manufacturing Director,Married,Female,No,3,487,1
Yes,41,9355,4,3,Sales,Sales Executive,Single,Male,No,2,488,8
No,50,10496,10,3,Research & Development,Healthcare Representative,Single,Male,No,4,491,4
Yes,40,6380,22,2,Sales,Sales Executive,Married,Male,Yes,3,492,6
No,31,2657,9,4,Research & Development,Research Scientist,Single,Male,Yes,2,493,2
Yes,21,2716,12,3,Sales,Sales Representative,Single,Female,No,2,494,1
No,29,2201,23,3,Research & Development,Research Scientist,Single,Male,No,4,495,3
No,35,6540,9,4,Research & Development,Healthcare Representative,Single,Male,No,2,496,1
No,27,3816,1,2,Research & Development,Laboratory Technician,Divorced,Male,No,2,497,5
No,28,5253,9,4,Sales,Sales Executive,Single,Male,No,4,498,7
No,49,10965,7,3,Research & Development,Healthcare Representative,Single,Male,No,3,499,5
No,51,4936,14,2,Sales,Sales Executive,Married,Female,No,4,500,7
No,36,2543,2,3,Research & Development,Research Scientist,Married,Female,No,3,501,2
Yes,34,5304,19,3,Sales,Sales Executive,Single,Male,Yes,4,502,5
No,55,16659,2,3,Research & Development,Manager,Single,Female,Yes,4,505,5
No,24,4260,10,4,Sales,Sales Executive,Divorced,Female,Yes,3,507,5
No,30,2476,2,1,Sales,Sales Representative,Married,Male,No,2,508,1
Yes,26,3102,3,1,Research & Development,Research Scientist,Single,Male,No,1,510,6
No,22,2244,11,3,Research & Development,Research Scientist,Married,Female,No,2,511,2
No,36,7596,2,2,Sales,Sales Executive,Married,Male,No,3,513,10
Yes,30,2285,4,3,Research & Development,Research Scientist,Single,Male,Yes,4,514,1
No,37,3034,14,3,Research & Development,Laboratory Technician,Divorced,Female,No,1,515,18
No,40,5715,2,2,Sales,Sales Executive,Divorced,Female,No,2,516,5
No,42,2576,1,4,Research & Development,Laboratory Technician,Divorced,Female,No,1,517,5
No,37,4197,10,4,Research & Development,Manufacturing Director,Single,Male,Yes,2,518,1
No,43,14336,12,3,Research & Development,Research Director,Divorced,Male,No,2,520,25
No,40,3448,2,3,Research & Development,Laboratory Technician,Married,Female,No,3,521,1
No,54,19406,5,2,Research & Development,Research Director,Married,Male,No,1,522,4
No,34,6538,4,4,Sales,Sales Executive,Married,Female,No,3,523,3
No,31,4306,7,2,Research & Development,Manufacturing Director,Married,Female,No,1,524,13
No,43,2258,21,3,Research & Development,Laboratory Technician,Married,Male,No,4,525,3
No,43,4522,8,4,Research & Development,Healthcare Representative,Divorced,Female,Yes,3,526,5
No,25,4487,4,2,Sales,Sales Executive,Single,Female,Yes,4,527,5
No,37,4449,25,5,Research & Development,Research Scientist,Married,Female,Yes,3,529,13
No,31,2218,1,2,Research & Development,Laboratory Technician,Married,Male,No,1,530,4
No,39,19197,1,1,Research & Development,Manager,Divorced,Male,Yes,3,531,21
No,56,13212,6,3,Sales,Sales Executive,Married,Female,No,1,532,7
No,30,6577,12,3,Sales,Sales Executive,Single,Female,No,3,533,5
No,41,8392,1,3,Sales,Sales Executive,Married,Male,No,1,534,10
No,28,4558,17,2,Research & Development,Laboratory Technician,Divorced,Male,No,1,536,10
Yes,25,4031,3,3,Research & Development,Laboratory Technician,Married,Male,No,1,538,2
No,52,7969,3,3,Research & Development,Manufacturing Director,Married,Male,Yes,3,543,5
No,45,2654,10,2,Research & Development,Research Scientist,Married,Male,No,4,544,2
No,52,16555,4,2,Research & Development,Manager,Married,Female,No,4,546,5
No,42,4556,29,2,Research & Development,Research Scientist,Divorced,Female,No,3,547,5
No,30,6091,2,3,Research & Development,Manufacturing Director,Single,Female,No,4,548,5
No,60,19566,7,3,Research & Development,Manager,Married,Female,No,1,549,29
No,46,4810,18,3,Research & Development,Manufacturing Director,Divorced,Female,No,3,550,10
No,42,4523,28,4,Research & Development,Healthcare Representative,Married,Female,No,4,551,6
Yes,24,3202,1,1,Sales,Sales Representative,Single,Female,Yes,2,554,5
Yes,34,2351,6,2,Sales,Sales Representative,Divorced,Female,No,3,555,2
No,38,1702,2,2,Research & Development,Laboratory Technician,Married,Male,Yes,4,556,1
No,40,18041,2,4,Sales,Manager,Married,Female,No,3,558,20
No,26,2886,23,3,Research & Development,Research Scientist,Divorced,Female,No,4,560,3
No,30,2097,3,3,Research & Development,Laboratory Technician,Married,Male,No,4,562,5
No,29,11935,3,4,Research & Development,Research Director,Married,Male,No,3,564,10
Yes,29,2546,25,5,Research & Development,Research Scientist,Married,Female,No,2,565,2
Yes,19,2564,2,2,Human Resources,Human Resources,Single,Male,No,4,566,1
No,30,8412,22,4,Sales,Sales Executive,Married,Female,No,1,567,9
No,57,14118,29,3,Sales,Manager,Divorced,Male,No,4,568,1
No,50,17046,29,4,Research & Development,Manager,Married,Male,No,3,569,27
No,30,2564,2,3,Research & Development,Laboratory Technician,Single,Female,No,4,571,11
No,60,10266,28,3,Sales,Sales Executive,Married,Female,No,1,573,18
No,47,5070,2,2,Research & Development,Manufacturing Director,Divorced,Female,No,4,574,5
No,46,17861,2,3,Research & Development,Research Director,Married,Male,No,3,575,3
No,35,4230,22,3,Research & Development,Laboratory Technician,Single,Male,No,3,577,5
No,54,3780,8,4,Research & Development,Laboratory Technician,Single,Female,No,3,578,1
No,34,2768,2,4,Research & Development,Research Scientist,Divorced,Male,No,3,579,7
No,46,9071,10,3,Sales,Sales Executive,Married,Female,Yes,4,580,3
No,31,10648,9,1,Research & Development,Manufacturing Director,Divorced,Male,No,2,581,13
Yes,33,13610,15,1,Research & Development,Manager,Married,Male,Yes,3,582,7
Yes,33,3408,10,1,Research & Development,Laboratory Technician,Divorced,Male,No,4,584,4
No,30,2983,7,1,Sales,Sales Representative,Single,Male,No,2,585,3
No,35,7632,16,3,Research & Development,Healthcare Representative,Married,Male,Yes,3,586,8
Yes,31,9824,20,3,Research & Development,Healthcare Representative,Married,Male,No,3,587,1
Yes,34,9950,23,3,Human Resources,Human Resources,Divorced,Female,Yes,1,590,3
No,42,2093,5,2,Research & Development,Laboratory Technician,Married,Male,No,3,591,2
No,36,9980,10,4,Sales,Sales Executive,Single,Male,No,4,592,10
Yes,22,3894,4,1,Research & Development,Laboratory Technician,Single,Male,No,3,593,2
No,48,4051,2,5,Sales,Sales Executive,Married,Female,No,4,595,9
No,55,16835,18,5,Sales,Manager,Single,Female,No,2,597,10
No,41,6230,10,2,Sales,Sales Executive,Single,Male,No,4,599,14
No,35,4717,1,3,Sales,Sales Executive,Married,Male,No,3,600,11
No,40,13237,6,3,Research & Development,Manufacturing Director,Single,Female,No,3,601,20
No,39,3755,8,1,Research & Development,Laboratory Technician,Married,Female,No,3,602,8
No,31,6582,2,1,Sales,Sales Executive,Single,Male,Yes,4,604,6
No,42,7406,24,3,Research & Development,Manufacturing Director,Married,Male,Yes,1,605,10
No,45,4805,2,3,Sales,Sales Executive,Married,Male,No,2,606,8
Yes,26,2741,17,4,Human Resources,Human Resources,Divorced,Female,Yes,3,608,7
No,29,4262,19,3,Research & Development,Manufacturing Director,Divorced,Male,No,4,611,3
No,33,16184,1,5,Research & Development,Research Director,Divorced,Female,No,3,612,6
No,31,11557,7,3,Sales,Manager,Divorced,Male,No,4,613,5
Yes,18,1878,5,3,Sales,Sales Representative,Single,Male,Yes,2,614,0
No,40,10932,28,3,Sales,Sales Executive,Divorced,Male,No,1,615,1
No,41,6811,2,4,Research & Development,Healthcare Representative,Single,Female,Yes,3,616,8
No,26,4306,29,2,Sales,Sales Executive,Divorced,Male,No,3,618,0
No,35,4859,1,3,Sales,Sales Executive,Single,Female,No,3,620,5
No,34,5337,21,4,Sales,Sales Executive,Single,Male,No,4,621,10
Yes,26,2340,24,3,Research & Development,Laboratory Technician,Single,Male,Yes,4,622,1
No,37,7491,1,3,Research & Development,Manufacturing Director,Single,Female,No,4,623,6
No,46,10527,18,1,Research & Development,Healthcare Representative,Married,Female,No,3,624,2
No,41,16595,2,5,Sales,Manager,Married,Female,No,1,625,18
No,37,8834,9,4,Sales,Sales Executive,Divorced,Male,No,2,626,9
No,52,5577,6,2,Research & Development,Research Scientist,Divorced,Male,Yes,1,630,10
Yes,32,4707,11,4,Sales,Sales Executive,Married,Male,No,3,631,4
No,24,2400,24,3,Sales,Sales Representative,Married,Male,No,4,632,2
No,38,9824,10,3,Research & Development,Healthcare Representative,Married,Female,No,3,634,1
No,37,6447,1,4,Research & Development,Manufacturing Director,Married,Female,No,2,635,6
No,49,19502,18,4,Research & Development,Research Director,Divorced,Male,Yes,3,638,31
No,24,2725,23,3,Research & Development,Research Scientist,Married,Male,Yes,4,639,6
No,26,6272,28,2,Sales,Sales Executive,Married,Male,No,2,641,5
No,24,2127,17,2,Research & Development,Laboratory Technician,Married,Male,No,2,643,1
No,50,18200,3,3,Human Resources,Manager,Married,Male,No,2,644,32
No,25,2096,13,1,Sales,Sales Representative,Married,Male,No,3,645,7
Yes,24,2886,7,3,Research & Development,Laboratory Technician,Married,Female,Yes,3,647,6
Yes,30,2033,12,4,Sales,Sales Representative,Married,Male,No,1,648,1
No,34,3622,1,2,Research & Development,Research Scientist,Married,Male,Yes,4,649,6
Yes,31,4233,13,4,Sales,Sales Executive,Divorced,Male,No,1,650,3
No,35,3681,25,2,Research & Development,Laboratory Technician,Single,Male,No,4,652,3
No,31,5460,6,4,Sales,Sales Executive,Divorced,Male,No,4,653,7
No,27,2187,6,4,Research & Development,Research Scientist,Divorced,Female,No,3,655,5
No,37,9602,2,3,Sales,Sales Executive,Married,Male,Yes,3,656,3
No,20,2836,1,3,Research & Development,Research Scientist,Single,Female,No,2,657,1
No,42,4089,2,4,Research & Development,Healthcare Representative,Married,Female,No,4,659,10
No,43,16627,6,4,Research & Development,Research Director,Divorced,Male,Yes,4,661,1
No,38,2619,1,1,Research & Development,Research Scientist,Single,Female,No,1,662,0
No,43,5679,9,5,Research & Development,Laboratory Technician,Divorced,Male,Yes,3,663,8
No,48,15402,1,4,Research & Development,Manager,Married,Female,No,1,664,3
No,44,5985,1,4,Human Resources,Human Resources,Single,Female,No,3,665,2
No,34,2579,14,3,Sales,Sales Representative,Divorced,Female,Yes,3,666,8
Yes,27,3041,2,1,Sales,Sales Representative,Divorced,Male,No,1,667,4
No,21,3447,22,1,Sales,Sales Representative,Single,Male,No,3,669,3
No,44,19513,3,4,Research & Development,Manager,Married,Male,Yes,4,671,2
No,22,2773,6,1,Research & Development,Research Scientist,Married,Male,No,3,675,2
No,33,7104,8,4,Sales,Sales Executive,Divorced,Male,No,3,677,5
No,32,6322,9,4,Research & Development,Research Scientist,Married,Female,Yes,4,679,6
No,30,2083,3,3,Research & Development,Research Scientist,Divorced,Female,No,3,680,1
No,53,8381,1,1,Sales,Sales Executive,Single,Female,No,1,682,14
No,34,2691,1,5,Research & Development,Research Scientist,Married,Male,No,4,683,10
Yes,45,4286,26,4,Sales,Sales Executive,Married,Female,No,1,684,1
No,26,2659,6,3,Research & Development,Laboratory Technician,Married,Female,Yes,4,686,3
No,37,9434,3,3,Research & Development,Manufacturing Director,Married,Male,No,3,689,10
No,29,5561,3,2,Sales,Sales Executive,Married,Female,No,3,690,6
No,35,6646,6,4,Research & Development,Research Scientist,Single,Male,No,4,691,17
No,33,7725,6,3,Research & Development,Healthcare Representative,Divorced,Male,No,4,692,13
No,54,10725,19,4,Human Resources,Human Resources,Married,Male,No,2,698,9
No,36,8847,9,2,Research & Development,Manufacturing Director,Divorced,Male,Yes,2,699,3
No,27,2045,3,4,Research & Development,Research Scientist,Single,Male,No,4,700,4
Yes,20,1009,10,1,Research & Development,Research Scientist,Single,Male,Yes,3,701,1
Yes,33,3348,3,3,Research & Development,Research Scientist,Single,Male,Yes,1,702,10
No,35,1281,3,3,Research & Development,Laboratory Technician,Married,Male,No,3,704,1
No,23,2819,4,3,Research & Development,Research Scientist,Married,Male,No,1,705,3
No,25,4851,8,3,Sales,Sales Executive,Married,Male,No,2,707,3
No,38,4028,7,4,Sales,Sales Executive,Single,Female,No,4,709,7
No,29,2720,1,4,Research & Development,Research Scientist,Divorced,Male,No,4,710,10
No,48,8120,2,1,Sales,Sales Executive,Married,Male,No,2,712,2
No,27,4647,3,1,Sales,Sales Executive,Divorced,Female,Yes,4,714,6
No,37,4680,10,2,Research & Development,Research Scientist,Single,Male,No,4,715,1
No,50,3221,28,1,Research & Development,Laboratory Technician,Married,Male,Yes,3,716,20
No,34,8621,9,3,Research & Development,Healthcare Representative,Single,Female,No,2,717,8
Yes,24,4577,3,2,Sales,Sales Executive,Single,Female,No,3,720,2
No,39,4553,2,4,Research & Development,Healthcare Representative,Single,Female,No,3,721,20
No,32,5396,10,3,Sales,Sales Executive,Single,Male,No,4,722,10
Yes,50,6796,8,2,Sales,Sales Executive,Married,Male,Yes,3,723,4
No,38,7625,1,4,Research & Development,Healthcare Representative,Single,Female,No,4,724,9
No,27,7412,1,2,Research & Development,Manufacturing Director,Married,Female,No,1,725,9
No,32,11159,3,2,Research & Development,Research Director,Single,Female,No,4,727,7
No,47,4960,14,4,Sales,Sales Executive,Single,Male,No,1,728,7
No,40,10475,5,4,Sales,Sales Executive,Married,Male,Yes,1,729,18
No,53,14814,7,3,Research & Development,Research Director,Married,Male,No,3,730,5
No,41,19141,10,4,Human Resources,Manager,Divorced,Male,No,4,731,21
No,60,5405,16,4,Sales,Sales Executive,Single,Male,No,1,732,2
No,27,8793,10,2,Research & Development,Manufacturing Director,Divorced,Male,No,1,733,9
No,41,19189,1,3,Human Resources,Manager,Married,Male,No,3,734,22
No,50,3875,8,4,Sales,Sales Representative,Married,Male,No,2,738,2
Yes,28,2216,1,2,Research & Development,Research Scientist,Single,Female,Yes,2,741,7
No,36,11713,8,3,Research & Development,Research Director,Married,Female,No,1,742,8
No,38,7861,1,3,Research & Development,Manufacturing Director,Single,Female,Yes,3,743,1
No,44,3708,24,3,Research & Development,Laboratory Technician,Single,Male,No,3,744,5
No,47,13770,3,3,Sales,Sales Executive,Divorced,Female,Yes,3,746,22
No,30,5304,27,5,Sales,Sales Executive,Divorced,Male,No,4,747,8
No,29,2642,10,3,Sales,Sales Representative,Single,Male,No,3,749,1
Yes,42,2759,19,3,Research & Development,Research Scientist,Divorced,Male,Yes,3,752,2
No,43,6804,15,3,Sales,Sales Executive,Married,Male,No,4,754,2
No,34,6142,8,2,Research & Development,Healthcare Representative,Single,Female,No,3,757,5
No,23,2500,9,1,Research & Development,Laboratory Technician,Married,Male,No,1,758,4
No,39,6389,3,3,Human Resources,Human Resources,Married,Female,No,2,760,8
No,56,11103,9,3,Research & Development,Healthcare Representative,Married,Male,No,4,762,10
No,40,2342,2,1,Research & Development,Research Scientist,Single,Female,Yes,4,763,4
No,27,6811,7,3,Research & Development,Healthcare Representative,Single,Female,No,1,764,7
No,29,2297,10,3,Sales,Sales Representative,Divorced,Male,No,2,766,2
No,53,2450,6,3,Research & Development,Laboratory Technician,Single,Male,No,4,769,2
No,35,5093,2,4,Research & Development,Healthcare Representative,Divorced,Female,No,1,771,1
No,32,5309,24,4,Research & Development,Laboratory Technician,Married,Male,No,4,772,10
No,38,3057,2,5,Research & Development,Research Scientist,Married,Male,Yes,3,773,1
No,34,5121,8,5,Research & Development,Manufacturing Director,Divorced,Female,No,1,775,0
No,52,16856,3,4,Sales,Manager,Married,Male,No,1,776,34
Yes,33,2686,1,4,Research & Development,Research Scientist,Single,Male,Yes,4,780,10
No,25,6180,26,1,Sales,Sales Executive,Single,Female,No,4,781,6
No,45,6632,2,2,Sales,Sales Representative,Single,Male,No,3,783,8
No,23,3505,10,1,Research & Development,Research Scientist,Single,Male,No,3,784,2
Yes,47,6397,27,2,Sales,Sales Executive,Single,Female,Yes,3,785,5
No,34,6274,2,3,Sales,Sales Executive,Single,Male,No,4,786,6
Yes,55,19859,2,3,Research & Development,Manager,Married,Male,Yes,1,787,5
No,36,7587,8,4,Sales,Sales Executive,Single,Male,No,1,789,10
No,52,4258,19,4,Research & Development,Research Scientist,Married,Male,No,4,791,4
No,26,4364,1,2,Research & Development,Laboratory Technician,Divorced,Female,No,4,792,2
No,29,4335,27,3,Research & Development,Healthcare Representative,Married,Female,No,3,793,8
Yes,26,5326,8,3,Sales,Sales Executive,Single,Male,No,1,796,4
No,34,3280,1,4,Research & Development,Research Scientist,Single,Female,No,4,797,4
No,54,5485,19,4,Research & Development,Manufacturing Director,Divorced,Female,Yes,1,799,5
No,27,4342,8,1,Sales,Sales Executive,Married,Male,No,4,800,4
No,37,2782,10,1,Research & Development,Research Scientist,Divorced,Female,Yes,1,802,5
No,38,5980,2,4,Research & Development,Manufacturing Director,Single,Female,Yes,1,803,15
No,34,4381,2,4,Research & Development,Research Scientist,Single,Female,No,1,804,6
No,35,2572,8,4,Sales,Sales Representative,Married,Female,No,4,805,3
No,30,3833,1,3,Research & Development,Laboratory Technician,Married,Male,No,3,806,2
No,40,4244,2,2,Research & Development,Healthcare Representative,Married,Female,No,2,807,8
No,34,6500,8,2,Sales,Sales Executive,Married,Female,No,1,808,3
No,42,18430,8,3,Research & Development,Manager,Divorced,Male,No,4,809,24
Yes,23,1601,6,3,Research & Development,Laboratory Technician,Married,Male,Yes,1,811,0
No,24,2694,9,3,Research & Development,Laboratory Technician,Divorced,Male,No,2,812,1
No,52,3149,11,4,Research & Development,Laboratory Technician,Married,Female,No,3,813,5
No,50,17639,2,3,Research & Development,Research Director,Married,Male,No,3,815,4
Yes,29,2319,1,2,Research & Development,Laboratory Technician,Married,Female,Yes,1,816,1
No,33,11691,7,3,Research & Development,Research Director,Married,Male,No,3,817,13
Yes,33,5324,16,3,Sales,Sales Executive,Single,Female,No,1,819,3
No,47,16752,2,2,Research & Development,Manager,Married,Female,Yes,4,820,26
No,36,5228,1,3,Research & Development,Manufacturing Director,Married,Female,No,2,823,9
No,29,2700,23,2,Research & Development,Research Scientist,Married,Male,No,3,824,10
Yes,58,19246,2,4,Research & Development,Research Director,Single,Male,Yes,2,825,31
No,35,2506,1,4,Research & Development,Research Scientist,Single,Female,No,3,826,2
No,42,6062,1,2,Research & Development,Manufacturing Director,Married,Female,Yes,4,827,4
Yes,28,4382,2,4,Research & Development,Research Scientist,Single,Male,No,3,828,2
No,36,2143,13,3,Human Resources,Human Resources,Married,Male,No,2,829,5
No,32,6162,4,3,Research & Development,Manufacturing Director,Married,Female,No,3,830,14
No,40,5094,16,4,Research & Development,Laboratory Technician,Single,Male,No,3,832,1
No,30,6877,2,3,Research & Development,Manufacturing Director,Single,Female,Yes,4,833,0
No,45,2274,2,3,Research & Development,Research Scientist,Single,Female,No,3,834,1
No,42,4434,29,3,Research & Development,Manufacturing Director,Married,Male,No,2,836,9
No,38,6288,12,3,Research & Development,Healthcare Representative,Divorced,Male,No,1,837,4
No,34,2553,16,4,Research & Development,Research Scientist,Single,Female,No,4,838,5
Yes,49,7654,11,3,Sales,Sales Executive,Married,Female,No,4,840,9
Yes,55,5160,2,1,Sales,Sales Executive,Single,Male,No,4,842,9
No,43,17159,14,2,Research & Development,Research Director,Married,Male,No,1,843,4
No,27,12808,5,1,Research & Development,Research Director,Divorced,Male,Yes,4,844,9
No,35,10221,7,3,Research & Development,Manufacturing Director,Single,Male,No,3,845,8
No,28,4779,2,4,Sales,Sales Executive,Married,Female,Yes,2,846,8
No,34,3737,3,2,Human Resources,Human Resources,Married,Male,No,4,847,3
Yes,26,2366,5,2,Research & Development,Research Scientist,Married,Female,Yes,3,848,8
No,27,1706,3,3,Research & Development,Research Scientist,Married,Male,No,4,850,0
No,51,16307,26,4,Sales,Manager,Married,Female,No,3,851,20
No,44,5933,4,3,Research & Development,Healthcare Representative,Single,Male,No,2,852,5
No,25,3424,2,1,Research & Development,Research Scientist,Single,Male,No,1,854,4
No,33,4037,1,3,Sales,Sales Executive,Divorced,Male,No,1,855,9
No,35,2559,27,1,Research & Development,Research Scientist,Single,Female,No,1,856,6
No,36,6201,1,2,Sales,Sales Executive,Married,Male,Yes,4,857,18
No,32,4403,13,4,Sales,Sales Executive,Divorced,Male,No,4,859,5
No,30,3761,5,4,Research & Development,Research Scientist,Divorced,Male,No,4,861,5
No,53,10934,7,2,Sales,Sales Executive,Married,Female,Yes,4,862,5
No,45,10761,9,3,Sales,Sales Executive,Divorced,Male,Yes,1,864,5
No,32,5175,8,2,Research & Development,Research Scientist,Married,Female,No,3,865,5
No,52,13826,25,4,Research & Development,Manufacturing Director,Married,Female,No,4,867,9
No,37,6334,16,4,Sales,Sales Executive,Divorced,Male,No,3,868,1
No,28,4936,8,2,Human Resources,Human Resources,Divorced,Male,No,4,869,5
No,22,4775,1,2,Research & Development,Manufacturing Director,Married,Male,No,4,872,2
No,44,2818,8,4,Research & Development,Laboratory Technician,Married,Male,Yes,4,874,3
No,42,2515,2,1,Research & Development,Research Scientist,Single,Male,Yes,4,875,2
No,36,2342,8,3,Human Resources,Human Resources,Married,Male,No,1,878,5
No,25,4194,3,1,Sales,Sales Executive,Married,Male,Yes,1,879,5
No,35,10685,9,3,Research & Development,Manufacturing Director,Married,Female,Yes,3,880,17
Yes,35,2022,25,4,Research & Development,Research Scientist,Divorced,Female,Yes,2,881,10
No,32,2314,1,3,Research & Development,Laboratory Technician,Divorced,Male,No,4,882,3
No,25,4256,4,1,Sales,Sales Executive,Married,Male,No,1,885,5
No,49,3580,1,3,Research & Development,Research Scientist,Married,Female,No,1,887,4
No,24,3162,4,1,Research & Development,Laboratory Technician,Married,Male,No,4,888,5
No,32,6524,5,2,Sales,Sales Executive,Married,Male,No,2,889,10
No,38,2899,9,3,Sales,Sales Representative,Married,Male,No,2,893,2
No,42,5231,3,3,Research & Development,Laboratory Technician,Married,Female,Yes,4,894,5
No,31,2356,11,4,Research & Development,Research Scientist,Married,Male,Yes,4,895,6
Yes,29,2800,1,3,Sales,Sales Representative,Divorced,Female,Yes,3,896,3
No,53,11836,8,3,Sales,Sales Executive,Married,Male,No,4,897,2
No,35,10903,25,3,Research & Development,Manufacturing Director,Married,Male,No,2,899,13
No,37,2973,21,2,Sales,Sales Representative,Married,Female,No,4,900,5
No,53,14275,23,4,Research & Development,Research Director,Single,Female,No,4,901,12
No,43,5562,1,3,Research & Development,Healthcare Representative,Married,Female,No,4,902,5
No,47,4537,2,2,Sales,Sales Executive,Married,Female,Yes,4,903,7
No,37,7642,19,2,Sales,Sales Executive,Single,Male,Yes,2,904,10
No,50,17924,2,4,Research & Development,Manager,Divorced,Male,No,1,905,31
No,39,5204,2,3,Human Resources,Human Resources,Married,Female,No,4,909,5
No,33,2277,3,2,Human Resources,Human Resources,Divorced,Male,Yes,2,910,4
Yes,32,2795,25,4,Research & Development,Laboratory Technician,Single,Male,Yes,4,911,1
No,29,2532,7,1,Research & Development,Laboratory Technician,Divorced,Female,No,4,912,4
No,44,2559,9,2,Research & Development,Research Scientist,Married,Male,Yes,1,913,8
No,28,4908,5,4,Sales,Sales Executive,Single,Male,No,4,916,4
Yes,58,2380,2,1,Research & Development,Laboratory Technician,Divorced,Male,Yes,4,918,1
No,43,4765,8,3,Research & Development,Manufacturing Director,Divorced,Female,No,2,920,1
Yes,20,2044,2,3,Sales,Sales Representative,Single,Female,No,3,922,2
Yes,21,2693,18,1,Research & Development,Research Scientist,Single,Female,No,4,923,1
No,36,6586,14,1,Research & Development,Healthcare Representative,Married,Male,Yes,4,924,16
No,47,3294,2,4,Sales,Sales Representative,Single,Female,Yes,4,925,3
Yes,22,4171,3,1,Research & Development,Manufacturing Director,Married,Female,Yes,3,926,3
Yes,41,2778,2,4,Research & Development,Laboratory Technician,Divorced,Female,Yes,4,927,7
No,28,2377,9,3,Research & Development,Research Scientist,Divorced,Female,No,3,930,2
Yes,39,2404,6,3,Research & Development,Laboratory Technician,Married,Male,Yes,1,932,2
No,27,2318,4,3,Research & Development,Research Scientist,Single,Female,No,3,933,1
No,34,2008,10,3,Research & Development,Laboratory Technician,Divorced,Male,No,2,934,1
No,42,6244,14,2,Sales,Sales Executive,Single,Female,No,3,936,5
No,33,2799,1,4,Research & Development,Research Scientist,Single,Male,Yes,1,939,3
No,58,10552,5,3,Research & Development,Healthcare Representative,Divorced,Female,Yes,2,940,6
No,31,2329,7,4,Sales,Sales Representative,Married,Male,No,3,941,7
No,35,4014,21,1,Research & Development,Healthcare Representative,Married,Female,Yes,4,942,10
No,49,7403,8,2,Research & Development,Laboratory Technician,Married,Female,No,2,944,26
No,48,2259,20,4,Research & Development,Research Scientist,Married,Male,No,3,945,0
No,31,6932,20,2,Sales,Sales Executive,Married,Female,No,3,947,9
No,36,4678,7,4,Research & Development,Research Scientist,Single,Male,No,4,949,6
No,38,13582,1,3,Research & Development,Research Director,Married,Female,No,1,950,15
No,32,2332,1,3,Research & Development,Laboratory Technician,Married,Female,No,2,951,3
Yes,25,2413,19,2,Sales,Sales Representative,Married,Male,Yes,2,952,1
No,40,9705,10,4,Sales,Sales Executive,Divorced,Male,No,2,954,1
No,26,4294,1,3,Sales,Sales Executive,Single,Male,No,1,956,7
No,41,4721,6,3,Research & Development,Laboratory Technician,Single,Male,Yes,1,957,18
No,36,2519,2,4,Research & Development,Laboratory Technician,Single,Male,No,3,958,11
Yes,19,2121,21,3,Sales,Sales Representative,Single,Male,Yes,2,959,1
Yes,20,2973,4,3,Research & Development,Laboratory Technician,Single,Male,No,1,960,1
No,31,5855,12,3,Research & Development,Healthcare Representative,Married,Female,Yes,4,961,9
No,40,3617,9,4,Research & Development,Research Scientist,Divorced,Male,Yes,2,964,1
No,32,6725,3,4,Research & Development,Manufacturing Director,Married,Female,No,1,966,8
Yes,36,10325,3,1,Sales,Sales Executive,Married,Male,Yes,4,967,16
No,33,6949,1,3,Research & Development,Healthcare Representative,Single,Female,No,4,969,5
Yes,37,10609,1,4,Sales,Sales Executive,Married,Male,No,3,970,14
No,45,4447,4,2,Research & Development,Laboratory Technician,Married,Male,No,2,972,9
No,29,2157,20,3,Sales,Sales Representative,Married,Female,No,4,974,3
No,35,4601,18,3,Sales,Sales Executive,Married,Female,No,3,975,5
No,52,17099,1,2,Research & Development,Manager,Married,Male,No,4,976,9
Yes,58,2479,2,3,Research & Development,Research Scientist,Single,Male,No,3,977,1
No,53,14852,2,2,Sales,Manager,Divorced,Male,No,3,981,17
No,30,7264,8,2,Sales,Sales Executive,Divorced,Male,No,3,982,8
No,38,5666,10,3,Sales,Sales Executive,Single,Female,Yes,4,983,5
No,35,7823,3,4,Sales,Sales Executive,Divorced,Male,No,4,984,10
No,39,7880,2,5,Sales,Sales Executive,Single,Male,No,3,985,8
Yes,40,13194,24,3,Sales,Sales Executive,Single,Female,Yes,2,986,1
No,47,5067,16,4,Research & Development,Manufacturing Director,Divorced,Male,Yes,3,987,19
No,36,5079,8,4,Sales,Sales Executive,Divorced,Male,No,4,990,7
